q,reduced_denominator_r,raw_mass_E_r,sobolev_mass_H_r,r3_times_raw,r2_times_sobolev,note
30,2,0.40389633178710938,0.10097408294677734,3.231170654296875,0.40389633178710938,finite-conductor diagnostic; theorem allows r^epsilon factors
30,3,1.2576789855957031,0.419226328531901,33.957332611083984,3.7730369567871089,finite-conductor diagnostic; theorem allows r^epsilon factors
30,5,0.47732925415039068,0.23866462707519528,59.666156768798835,5.9666156768798819,finite-conductor diagnostic; theorem allows r^epsilon factors
30,6,1.2576789855957031,1.2576789855957033,271.65866088867188,45.27644348144532,finite-conductor diagnostic; theorem allows r^epsilon factors
30,10,0.47732925415039062,0.7159938812255856,477.32925415039062,71.599388122558565,finite-conductor diagnostic; theorem allows r^epsilon factors
30,15,0.33350753784179688,0.66701507568359397,1125.5879402160645,150.07839202880865,finite-conductor diagnostic; theorem allows r^epsilon factors
30,30,0.33350753784179699,2.0010452270507857,9004.7035217285193,1800.9407043457072,finite-conductor diagnostic; theorem allows r^epsilon factors
210,2,0.48307667065549786,0.12076916766387447,3.8646133652439829,0.48307667065549786,finite-conductor diagnostic; theorem allows r^epsilon factors
210,3,1.3227091928323114,0.44090306427743708,35.713148206472404,3.9681275784969339,finite-conductor diagnostic; theorem allows r^epsilon factors
210,5,0.50383457320707836,0.25191728660353907,62.979321650884792,6.2979321650884765,finite-conductor diagnostic; theorem allows r^epsilon factors
210,6,1.3227091928323116,1.3227091928323107,285.70518565177929,47.617530941963182,finite-conductor diagnostic; theorem allows r^epsilon factors
210,7,0.15434682553197127,0.10289788368798086,52.940961157466141,5.0419963007110624,finite-conductor diagnostic; theorem allows r^epsilon factors
210,10,0.50383457320707836,0.75575185981061721,503.83457320707834,75.575185981061722,finite-conductor diagnostic; theorem allows r^epsilon factors
210,14,0.15434682553197132,0.30869365106394242,423.5276892597293,60.503955608532713,finite-conductor diagnostic; theorem allows r^epsilon factors
210,15,0.3458370952694505,0.69167419053890022,1167.2001965343954,155.62669287125254,finite-conductor diagnostic; theorem allows r^epsilon factors
210,21,0.1034385874683474,0.27583623324892681,957.9447585443653,121.64377886277673,finite-conductor diagnostic; theorem allows r^epsilon factors
210,30,0.3458370952694505,2.075022571616699,9337.6015722751636,1867.5203144550292,finite-conductor diagnostic; theorem allows r^epsilon factors
210,35,0.033954225572538965,0.13581690229015575,1455.7874214226081,166.37570530544079,finite-conductor diagnostic; theorem allows r^epsilon factors
210,42,0.10343858746834741,0.8275086997467751,7663.5580683549233,1459.7253463533114,finite-conductor diagnostic; theorem allows r^epsilon factors
210,70,0.033954225572538965,0.40745070687046669,11646.299371380865,1996.5084636652869,finite-conductor diagnostic; theorem allows r^epsilon factors
210,105,0.014828507179095424,0.23725611486552667,17165.850623200338,2615.7486663924315,finite-conductor diagnostic; theorem allows r^epsilon factors
